order_id,order_date,customer_id,customer_name,product,category,quantity,unit_price,region,status,discount_code
ORD10091,6/12/2025,C1030,Paul Lopez,Mechanical Keyboard,electronics,11,58.5,south west,COMPLETED,
ORD10131,11/12/2025,C1019,  Anthony Hernandez  ,Laptop Stand,Office,3,36.79,MIDWEST,cancelled,
ORD10041,31-Mar-25,C1036,  Sandra Brown  ,Desk Mat,OFFICE,8,20.72,SW,,
ORD10110,12/7/2025,C1029,Elizabeth Martin,Ballpoint Pens (12pk),Office Supplies,11,6.48,NORTHEAST,cancelled,
ORD10102,15-12-2025,C1024,Betty Johnson,Office Chair,Furniture,4,149.11,MW,Cancelled,
ORD10085,23-09-2025,C1025,Lisa Anderson,USB-C Cable,Electronics,12,9.71,south east,completed,
ORD10079,28-Jan-25,C1027,ASHLEY GONZALEZ,Ergonomic Footrest,FURNITURE,4,28.32,Southeast,completed,
ORD10117,3-Jun-25,C1022,Jennifer Lopez,Office Chair,Furniture,3.2,148.89000000000001,S.East,Pending,
ORD10050,12/16/2025,C1026,Sarah Brown,Mechanical Keyboard,Electronics,10,$59.99 ,west,Completed,
ORD10064,5/23/2025,C1030,Paul Lopez,Office Chair,furniture,7,151.89000000000001,south west,Completed,
ORD10025,28-07-2025,C1034,ANTHONY MARTINEZ,USB-C Cable,ELECTRONICS,7,$9.99 ,WEST coast,Completed,
ORD10096,9/12/2025,C1036,Sandra Brown,Ballpoint Pens (12pk),Office Supplies,N/A,4.82,SE,Completed,WELCOME5
ORD10014,12/6/2025,C1019,Anthony Hernandez,Wireless Mouse,Electronics,3,21.549999999999997,Southwest,Returned,
ORD10150,19-Mar-25,C1004,  Karen Moore  ,Notebook Set,Office Supplies,8,5.34,NE,Pending,
ORD10127,6/27/2025,C1034,Anthony Martinez,Monitor 24in,Electronics,N/A,179.99 USD,north east,Pending,
ORD10067,7/22/2025,C1027,ASHLEY GONZALEZ,Ballpoint Pens (12pk),OFFICE SUPPLIES,-2,3.83,south east,completed,
ORD10046,3-Oct-25,C1019,Anthony Hernandez,Desk Mat,office,9,21.5,MW,Returned,
ORD10012,8/3/2025,C1015,Anthony Garcia,Bluetooth Speaker,Electronics,6,43.81,MW,COMPLETED,
ORD10073,9/16/2025,C1009,Charles Martin,Desk Mat,Office,9,22.09,Southwest,Cancelled,
ORD10029,7/8/2025,C1015,ANTHONY GARCIA,Laptop Stand,Office,12,36.1,south east,Completed,
ORD10138,8-Aug-25,,Michael Moore,Bluetooth Speaker,Electronics,-2,44.99 USD,NORTHEAST,COMPLETED,
ORD10053,7/6/2025,C1008,Michael Davis,Desk Lamp,OFFICE,N/A,25.979999999999997,SE,cancelled,
ORD10066,3/21/2025,C1010,James Moore,Bluetooth Speaker,Electronics,1,44.080000000000005,WEST coast,Pending,
ORD10033,28-Jul-25,,Thomas Lopez,Laptop Stand,office,4,35.57,WEST coast,completed,WELCOME5
ORD10103,10/21/2025,C1031,Chris Miller,File Organizer,Office Supplies,7,16.81,,completed,
ORD10124,12/23/2025,C1022,Jennifer Lopez,Standing Desk,Furniture,2,301.42,Northeast,Pending,
ORD10095,4-May-25,C1022,Jennifer Lopez,Ballpoint Pens (12pk),office supplies,,3.5500000000000003,north east,Pending,SAVE10
ORD10080,29-Aug-25,C1009,CHARLES MARTIN,Monitor 24in,Electronics,2,$179.99 ,SE,Pending,WELCOME5
ORD10038,2/8/2025,C1013,Thomas Jackson,Laptop Stand,office,-4,34.870000000000005,NE,Cancelled,
ORD10114,6-Oct-25,,Michael Davis,Wireless Mouse,Electronics,4,19.369999999999997,MW,completed,
ORD10109,23-Mar-25,C1036,SANDRA BROWN,Wireless Mouse,Electronics,12,20.75,mid west,Returned,
ORD10130,10/14/2025,,Thomas Lopez,Standing Desk,FURNITURE,3,298.67,mid west,COMPLETED,WELCOME5
ORD10047,11/30/2025,C1026,SARAH BROWN,File Organizer,Office Supplies,1,$14.99 ,SW,,none
ORD10071,18-11-2025,C1037,Joseph Rodriguez,Webcam HD,Electronics,0,$39.99 ,west,Completed,
ORD10083,6/30/2025,C1015,Anthony Garcia,Monitor 24in,Electronics,11,,WEST coast,COMPLETED,none
ORD10142,10/21/2025,C1018,John Miller,File Organizer,Office Supplies,9,14.46,N.East,Pending,
ORD10134,21-Dec-25,C1027,  Ashley Gonzalez  ,Notebook Set,Office Supplies,6,8.24,south west,completed,
ORD10061,11/16/2025,C1028,  ROBERT MOORE  ,Mechanical Keyboard,electronics,6,60.38,MIDWEST,Pending,
ORD10135,19-Jun-25,C1022,Jennifer Lopez,Webcam HD,Electronics,,$39.99 ,SE,Pending,
ORD10023,5/8/2025,C1006,Susan Johnson,Monitor 24in,ELECTRONICS,8,181.94,SW,,
ORD10144,5/29/2025,C1003,John Brown,USB-C Cable,Electronics,9,10.71,NE,Pending,
